effs ds emp_ps overlap
0.2 0.05 0.096 0.9800549636095239
0.2 0.1 0.292 0.960122388323255
0.2 0.15000000000000002 0.56 0.9402147118942105
0.2 0.2 0.794 0.920344325445942
0.2 0.25 0.928 0.9005235503397743
0.2 0.3 0.98 0.880764615259515
0.2 0.35000000000000003 0.999 0.8610796335846527
0.2 0.4 1 0.8414805811217939
0.2 0.45 1 0.8219792742625408
0.2 0.5 1 0.8025873486341526
0.2 0.55 1 0.7833162383072104
0.2 0.6000000000000001 1 0.7641771556220947
0.2 0.6500000000000001 1 0.745181071693432
0.2 0.7000000000000001 1 0.7263386976487618
0.2 0.7500000000000001 1 0.7076604666545523
0.2 0.8 1 0.6891565167793516
0.2 0.8500000000000001 1 0.670836674740339
0.2 0.9000000000000001 1 0.65271044057584
0.2 0.9500000000000001 1 0.6347869732825181
0.2 1 1 0.6170750774519739
0.5 0.05 0.403 0.9800549636095239
0.5 0.1 0.91 0.960122388323255
0.5 0.15000000000000002 1 0.9402147118942105
0.5 0.2 1 0.920344325445942
0.5 0.25 1 0.9005235503397743
0.5 0.3 1 0.880764615259515
0.5 0.35000000000000003 1 0.8610796335846527
0.5 0.4 1 0.8414805811217939
0.5 0.45 1 0.8219792742625408
0.5 0.5 1 0.8025873486341526
0.5 0.55 1 0.7833162383072104
0.5 0.6000000000000001 1 0.7641771556220947
0.5 0.6500000000000001 1 0.745181071693432
0.5 0.7000000000000001 1 0.7263386976487618
0.5 0.7500000000000001 1 0.7076604666545523
0.5 0.8 1 0.6891565167793516
0.5 0.8500000000000001 1 0.670836674740339
0.5 0.9000000000000001 1 0.65271044057584
0.5 0.9500000000000001 1 0.6347869732825181
0.5 1 1 0.6170750774519739
0.8 0.05 0.774 0.9800549636095239
0.8 0.1 1 0.960122388323255
0.8 0.15000000000000002 1 0.9402147118942105
0.8 0.2 1 0.920344325445942
0.8 0.25 1 0.9005235503397743
0.8 0.3 1 0.880764615259515
0.8 0.35000000000000003 1 0.8610796335846527
0.8 0.4 1 0.8414805811217939
0.8 0.45 1 0.8219792742625408
0.8 0.5 1 0.8025873486341526
0.8 0.55 1 0.7833162383072104
0.8 0.6000000000000001 1 0.7641771556220947
0.8 0.6500000000000001 1 0.745181071693432
0.8 0.7000000000000001 1 0.7263386976487618
0.8 0.7500000000000001 1 0.7076604666545523
0.8 0.8 1 0.6891565167793516
0.8 0.8500000000000001 1 0.670836674740339
0.8 0.9000000000000001 1 0.65271044057584
0.8 0.9500000000000001 1 0.6347869732825181
0.8 1 1 0.6170750774519739
0.9 0.05 0.897 0.9800549636095239
0.9 0.1 1 0.960122388323255
0.9 0.15000000000000002 1 0.9402147118942105
0.9 0.2 1 0.920344325445942
0.9 0.25 1 0.9005235503397743
0.9 0.3 1 0.880764615259515
0.9 0.35000000000000003 1 0.8610796335846527
0.9 0.4 1 0.8414805811217939
0.9 0.45 1 0.8219792742625408
0.9 0.5 1 0.8025873486341526
0.9 0.55 1 0.7833162383072104
0.9 0.6000000000000001 1 0.7641771556220947
0.9 0.6500000000000001 1 0.745181071693432
0.9 0.7000000000000001 1 0.7263386976487618
0.9 0.7500000000000001 1 0.7076604666545523
0.9 0.8 1 0.6891565167793516
0.9 0.8500000000000001 1 0.670836674740339
0.9 0.9000000000000001 1 0.65271044057584
0.9 0.9500000000000001 1 0.6347869732825181
0.9 1 1 0.6170750774519739
